name,age,stand
D an G,Age not Confirmed,"
Stand
Yo-Yo Ma
"
,,
Guccio,"
Age
31[1]
","
Stand
Survivor
"
,,
Viviano Westwood,"
Age
28[1]
","
Stand
Planet Waves
"
,,
Thunder McQueen,"
Age
27[1]
","
Stand
Highway to Hell
"
,,
Romeo Jisso,"
Age
Late teens to early 20s
",No Stand
,,
Perla Pucci,"
Age
14[2]
",No Stand
,,
Loccobarocco,Age not Confirmed,No Stand
,,
Johnny Joestar,"
Age
19 (Part 7)[3]29 (Part 8)[4]
","
Stand
Tusk
"
,,
Gyro Zeppeli,"
Age
24[2]
","
Stand
Ball Breaker(via Steel Ball)[1]
"
,,
Lucy Steel,"
Age
14[2]
","
Stand
Ticket to Ride
"
,,
Steven Steel,"
Age
51 (volume 2)53 (volume 17)[2]
",No Stand
,,
Hot Pants,"
Age
23[2]
","
Stand
Cream Starter
"
,,
Mountain Tim,"
Age
31[1]
","
Stand
Oh! Lonesome Me
"
,,
Diego Brando,"
Age
20[1]
","
Stand
Scary Monsters (via Saint's Corpse)
"
,,
Wekapipo,"
Age
31[2]
",No Stand
,,
Pocoloco,"
Age
21[3]
","
Stand
Hey Ya!
"
,,
Norisuke Higashikata I,"
Age
68[1]
",No Stand
,,
Funny Valentine,"
Age
48[2]
","
Stand
Dirty Deeds Done Dirt Cheap
"
,,
Blackmore,Age not Confirmed,"
Stand
Catch the Rainbow
"
,,
Mike O.,Age not Confirmed,"
Stand
Tubular Bells
"
,,
Ringo Roadagain,Age not Confirmed,"
Stand
Mandom
"
,,
Axl RO,Age not Confirmed,"
Stand
Civil War
"
,,
Magenta Magenta,"
Age
Less than 31[2]
","
Stand
20th Century Boy
"
,,
Dr. Ferdinand,Age not Confirmed,"
Stand
Scary Monsters
"
,,
D-I-S-C-O,Age not Confirmed,"
Stand
Chocolate Disco
"
,,
Eleven Men,Age not Confirmed,"
Stand
Tatoo You!
"
,,
Pork Pie Hat Kid,Age not Confirmed,"
Stand
Wired
"
,,
Diego Brando From Another World,"
Age
20[citation needed]
","
Stand
THE WORLD
"
,,
Sandman,Age not Confirmed,"
Stand
In a Silent Way
"
,,
Benjamin Boom Boom,Age not Confirmed,"
Stand
Tomb of the Boom 1
"
,,
Andre Boom Boom,Age not Confirmed,"
Stand
Tomb of the Boom 2
"
,,
L. A. Boom Boom,Age not Confirmed,"
Stand
Tomb of the Boom 3
"
,,
Mrs. Robinson,Age not Confirmed,No Stand
,,
Oyecomova,"
Age
25-29[1]
","
Stand
Boku no Rhythm woKiitekure
"
,,
Sugar Mountain,"
Age
~66[2]
",No Stand
,,
Scarlet Valentine,Age not Confirmed,No Stand
,,
Jesus,Age not Confirmed,No Stand
,,
Gregorio Zeppeli,Age not Confirmed,No Stand
,,
George Joestar I (Steel Ball Run),Age not Confirmed,No Stand
,,
Nicholas Joestar,"
Age
14[1]
",No Stand
,,
Marco,"
Age
9[1]
",No Stand
,,
Josuke Higashikata,"
Age
19[1]  (Tentative)
","
Stand
Soft & Wet
"
,,
Yasuho Hirose,"
Age
19 [1]
","
Stand
Paisley Park
"
,,
Rai Mamezuku,"
Age
31[2]
","
Stand
Doggy Style
"
,,
Joshu Higashikata,"
Age
19[1]
","
Stand
Nut King Call
"
,,
Tsurugi Higashikata,"
Age
9[1] (originally depicted as 2)
","
Stand
Paper Moon King
"
,,
Norisuke Higashikata IV,"
Age
59[2]
","
Stand
King Nothing
"
,,
Daiya Higashikata,"
Age
16[1]
","
Stand
California King Bed
"
,,
Hato Higashikata,"
Age
24[1]
","
Stand
Walking Heart
"
,,
Jobin Higashikata,"
Age
32[1]
","
Stand
Speed King
"
,,
Mitsuba Higashikata,"
Age
31[1]
","
Stand
Awaking III Leaves
"
,,
Kaato Higashikata,"
Age
52[1]
","
Stand
Unnamed Card Stand
"
,,
Kyo Nijimura,"
Age
22[1]
","
Stand
Born This Way
"
,,
Yoshikage Kira,"
Age
29[1]
","
Stand
Killer Queen
"
,,
Josefumi Kujo,"
Age
19[1]
","
Stand
Soft & Wet
"
,,
Karera Sakunami,"
Age
20[1]
","
Stand
Love Love Deluxe
"
,,
Holy Joestar-Kira,"
Age
52[1]
",No Stand
,,
Tamaki Damo,"
Age
23[1](Self-proclaimed)
","
Stand
Vitamin C
"
,,
Yotsuyu Yagiyama,"
Age
28[1]
","
Stand
I Am a Rock
"
,,
Aisho Dainenjiyama,"
Age
29[1]
","
Stand
Doobie Wah!
"
,,
A. Phex Brothers,Age not Confirmed,"
Stand
Schott Key No.1 (Elder brother)Schott Key No.2 (Younger brother)
"
,,
Dolomite,"
Age
39[2]
","
Stand
Blue Hawaii
"
,,
Urban Guerrilla,"
Age
38 (claimed)[1]
","
Stand
Brain Storm
"
,,
Doremifasolati Do,Age not Confirmed,No Stand
,,
Poor Tom,"
Age
57 (claimed)[1]
","
Stand
Ozon Baby
"
,,
Wu Tomoki,"
Age
~33 (claimed)[3]~70[4]
","
Stand
Doctor Wu
"
,,
Satoru Akefu,"
Age
89 (allegedly)
","
Stand
Unnamed Humanoid Stand
"
,,
Tooru,Age not Confirmed,No Stand
,,
Ojiro Sasame,"
Age
22 (Chapter 6)[1]23 (Chapter 87)[2]
","
Stand
Fun Fun Fun
"
,,
Suzuyo Hirose,"
Age
44[2]
",No Stand
